,advice_mgmt_text,approves_ceo,cons_text,employee position,employee_location,employee_status,employee_years_at_company,number_helpful_votes,overall_rating,positive_outlook,pros_text,ratings_career_oportinity,ratings_comp_benefits,ratings_culture_values,ratings_senior_management,ratings_work_life_balance,review date,review_title
10,,1.0,Facebook is the fast growth company in our social network and I m very impressed by the owner because of its skill or intelligent., Human Resources Assistant,"London, England",Current Employee ,M,2,4.0,1.0,This company is reputed company or the management of this company is best for work,4.0,4.0,4.0,4.0,5.0, 21 Apr 2018,"""This company is best in allover world to work"""
11,,1.0,"Too much proprietary tech, hard for you to keep in touch with what the rest of the world is using when Facebook is run on mostly in house built tools.", Senior Software Engineer,"London, England",Former Employee ,M,5,5.0,1.0,Amazing tools and code that make implementing new services and features extremely quick with high quality.,5.0,5.0,5.0,5.0,5.0, 11 Mar 2018,"""Empowered and Emotionally intelligent engineers"""
12,not mentioned,1.0,"In many parts of the engineering organization, you are expected to set your own goals and will be held accountable to them. If you're used to working in an environment where you're told exactly what to do, this might not be for you.", Software Engineer,"London, England",Current Employee ,M,2,5.0,1.0,"At Facebook you're given the opportunity to affect billions of people's lives every day. As long as you can make a case for why this will improve people's experience or metrics, you can do whatever you want.",5.0,4.0,5.0,5.0,4.0, 13 Feb 2018,"""Great opportunities, incredible impact"""
13,,1.0,"- Difficult to maintain work-life balance, always on approach- Sometimes the lack of resources/processes was a frustration, would result in much more self-admin and sometimes I thought we were very highly paid adminstrators- With the need to grow desperation to hire quickly became a burden, meaning the most experienced team members spent a lot of time hiring rather than their core job- Upwards …  progression can be difficult as the nature of the company is quite flat and intentionally non-hierarchical. Means that progression into management and senior roles can be very difficultShow More", Growth Manager,"London, England",Former Employee ,M,10,5.0,1.0,"- Fantastic management team, really amazing that even with over 20K employees everyone knows the mission of the company and aligns- Well compensated compared to industry average and comes with a host of benefits including travel, free food, gym etc- People are so smart - always a learning opportunity to be had- Fantastic company culture - love how the company sticks to its core, e.g. weekly Q&As with …  Zuck, openness and transparency in the company strategyShow More",4.0,5.0,5.0,5.0,4.0, 17 Jan 2018,"""Amazing company to work for - best learning experience"""
14,,1.0,"Intensity, opportunities to change careers and grow", Executive Assistant,"London, England",Current Employee ,L,0,4.0,1.0,"Great leadership, clear vision, amazing culture and awesome perks",2.0,4.0,5.0,4.0,4.0, 26 Feb 2018,"""Executive Assistant"""
15,,1.0,Lots of politics and a very bad review cycle. People who do nothing and just famous because they are 'IN' some special circles get tons of positive feedback. The emphasis here is not on the actual work but it's all about 'visibility'. There are people with zero knowledge and all still get ratings because they 'share' stuff done by other people., Marketing Analyst,"London, England",Current Employee ,M,0,4.0,1.0,"Open culture, tons of benefits",4.0,5.0,5.0,3.0,4.0, 2 Feb 2018,"""Marketing Analyst"""
16,not mentioned,1.0,Long hoursSupporting directors across different teams, Executive Assistant,"London, England",Current Employee ,M,1,4.0,,"Open cultureFree breakfast, lunch and dinnerAbility to work from homeAbility to work on projects of interest outside your core roleTravel",4.0,4.0,5.0,4.0,3.0, 29 Jan 2018,"""Executive Assistant"""
17,not mentioned,1.0,- Work/life balance- High expectations, Production Engineer,"London, England",Current Employee ,L,0,5.0,1.0,- Working at a scale I didn't even dream of- Lots of freedom- Opportunity to grow quickly- Flexibility to move teams within the company- Open culture,5.0,5.0,5.0,4.0,2.0, 12 Jan 2018,"""Production Engineer"""
18,,1.0,"Incorrect understanding and execution of the company values:Value: Done is better than perfect - the incorrect interpretation is that done and perfect are mutually exclusive, no-one wants to do anything that is perfect.Value: We [managers / leaders] are non-directive - incorrect interpretation is that managers do not need to provide direction, the result is that manager are ineffective and simply try to …  please employees.Value: Make an impact - incorrect interpretation is any impact is a good impact, the actual impact of this is that there is little significant impact.The company has many conflicting ways of working, for example the short term review process and the want and need to take risks and innovate. The result is that employees do not want to take long term risks as they will be penalised in their next review.There is a PIP (personal improvement plan) process to help those underachieving to get back on track. This is only effective at removing people from the company and during new manager training (FME) managers are informed that most people (>80%) that are placed on a PIP leave the company. At the same time the company prides itself on the ability of employees to have tough conversations (Crucial Conversations is a class employees are encouraged to attend) yet no-one has these tough conversations. There is a reliance on processes such as the PIP process to remove people from the company rather than having direct conversations.Show More", Senior IC,"London, England",Former Employee ,L,14,2.0,1.0,Great physical working environmentEnergyStrong aspects of the cultureOpenness of Mark Zuckerburg,2.0,4.0,2.0,1.0,3.0, 7 Jan 2018,"""Too much busy-ness, not enough real deliverables"""
19,not mentioned,1.0,Salary is not big enough in London, Anonymous Employee,"London, England",Current Employee ,M,1,4.0,1.0,"Great environment, great tools, great benefits",3.0,2.0,5.0,5.0,4.0, 14 Dec 2017,"""Best place"""
20,not mentioned,1.0,- Achieving work life balance requires a lot of discipline as there are lots of ameneties in the office that allow you to procrastinate, Software Engineer,"London, England",Current Employee ,M,1,5.0,0.0,- Working with bleeding edge technologies- Software engineers can also drive product decisions,5.0,4.0,5.0,4.0,3.0, 28 Nov 2017,"""Great place for engineers"""
21,,1.0,If you don't like the challenge of a fast paced environment with constant change then it can be challenging., Industry Manager,"London, England",Current Employee ,M,1,5.0,1.0,"Truly mission led company which drives everything that we do.Strong and inspirational leaders.Great environment, great colleagues and we are well looked after.Fast paced and constantly changing with an ambition to always do better.",4.0,5.0,5.0,5.0,5.0, 20 Oct 2017,"""Fast paced, great environment and strong culture."""
22,not mentioned,1.0,"Work-life balance is not always easy, there is pressure to perform but also always lots of work to do", Data Scientist,"London, England",Current Employee ,L,2,5.0,1.0,"Amazing colleagues who care about their work and colleaguesChallenging problemsVery self-led, opportunity to drive what you care aboutExtremely flexible work environment with working from home options, amazing benefits",5.0,5.0,5.0,5.0,3.0, 16 Oct 2017,"""Amazing employer with lots of challenges and opportunities to learn and grow"""
23,not mentioned,1.0,Nothing to add here around cons., University Recruitment Lead,"London, England",Current Employee ,M,0,5.0,1.0,- The people- Culture- The mission- Benefits- The care your team and managers have for you is incredible.- Best Place to work!,5.0,5.0,5.0,5.0,5.0, 12 Oct 2017,"""University Recruitment"""
24,not mentioned,,"Pour management, lack of leadership from my senior chefs ,problems in communication, unorganized human resources department that cause unnecessary issues", Junior Sous Chef,"London, England",Current Employee ,M,3,4.0,1.0,"The chance to work with a very big budget, huge variety of products from all over the world. And the liberty to create my own dished and recipes.",3.0,4.0,3.0,3.0,4.0, 17 Oct 2017,"""Research chef/ junior sous chef"""
25,,1.0,"It's not a great place if you value being in charge, or being told specifically what to do when. Everyone is expected to be self-led to a large extent.There also is relatively little documentation. If you want to find out something, most often you need to ask someone rather than read a document.", Engineering Manager,"London, England",Current Employee ,L,5,5.0,1.0,"The culture here is fantastic; there are so many things that just work well together. For example, most engineers choose which team to join after the first 6 weeks or so, which encourages a lot of really positive behaviours. The company is also really open, allowing everyone to make great decisions: if you need access to some data, you probably have it available.We have good tools and infrastructure that …  allows us to focus on the important things; things like booking a meeting room, following up on a task in a common system and many other things are just easy, using great tools that an internal team builds and maintains. I also think that the engineering-led approach to product development and a willingness to try things is really special, and allows us to be more bold than most other companies.Oh, and the free food! Breakfast, lunch and dinner, with lots of great options, both healthy and not-so-healthy.Show More",5.0,5.0,5.0,5.0,4.0, 11 Sep 2017,"""Such a great place to work"""
26,not mentioned,1.0,Lot to work on.... Less creative.... Less interaction between departments, Business Development Manager,"London, England",Former Employee ,M,0,3.0,1.0,Great energy! Flexible enough...good balance. I wouldn't say the creativity is that high but at least the productivity is... And that's what matters!,4.0,4.0,5.0,5.0,3.0, 1 Oct 2017,"""Great leadership"""
27,not mentioned,1.0,Very high performance expectations but have good support for success., Product Quality Analyst,"London, England",Current Employee ,M,4,5.0,1.0,Very satisfactory benefits and compensation.,5.0,5.0,5.0,5.0,5.0, 7 Aug 2017,"""Excellent Benefits"""
28,not mentioned,1.0,The high bar makes people work hard, Software Engineer,"London, England",Current Employee ,M,3,5.0,1.0,"Facebook focuses people on growth, and focuses managers on coaching people to improveYou'll learn how to use engineering to drive real impact for the company, and how to become the best version of yourself",5.0,4.0,5.0,4.0,4.0, 31 Jul 2017,"""A strong career move"""
29,,1.0,Don't see much cons now, Software Engineer,"London, England",Current Employee ,L,1,5.0,1.0,"- perks that barely 1 or 2 companies can match (free food, child benemfits, yadayadayada)- start at bootcamp and choose yourself a team. ANY team that is recruitung - android, ios, web, backend, machine learning.- convenient location in central london- super smart people around. If you've been best at previous role(s) - you'll learn every day from others.- you do the world a favor. Connect people, …  bring free internet to people, produce world-class open-source things: ReactJS, Presto, Hive...Show More",5.0,5.0,5.0,5.0,5.0, 31 Jul 2017,"""Great employer"""
30,not mentioned,1.0,"Although the company's mantra is ""move fast"", adding a bit more structure could help finding more synergies and removing team/people overlap.Also, some of the personal benefits such as the personal insurance are not of the highest European standard (might be because insurance's offering in the UK is quite poor).", Product Marketing Manager,"London, England",Current Employee ,L,0,5.0,1.0,"Facebook's culture is incredible and helps employees get the best out of their skills to succeed and achieve massive projects. The management is really one of the best components of Europe, with lots of highly experienced leaders to learn from.The company offers a ton of benefits to make sure you are covered with everything you need to do your job and manage your personal time in the best possible …  way.This is the best place where you can thrive!Show More",5.0,4.0,5.0,5.0,4.0, 2 Aug 2017,"""Fantastic environment to learn and succeed"""
31,not mentioned,1.0,Opportunities to progress are becoming more limited as the company gets bigger. Culture and pressure to perform can be tough., Marketing,"London, England",Current Employee ,M,0,5.0,1.0,"Great benefits, lots of career opportunity.",4.0,4.0,5.0,4.0,3.0, 31 Jul 2017,"""Best company I have worked for"""
32,,1.0,"- Constant are-we-there-yet navel-gazing about metrics. Often you spend more time running data queries than actually building anything.- Can have a very conformist, kool-aid culture that is alienating to those over 40.- Food is very unhealthy. Not very friendly to those with weight problems.", Staff Software Engineer,"London, England",Current Employee ,M,3,4.0,1.0,- Unparalleled technical opportunities- A relatively transparent and consistent rewards/benefits system- Lots of responsibility to even the most junior posts.- Never wastes time on anything unimportant,4.0,4.0,3.0,5.0,2.0, 6 Jul 2017,"""A great company"""
33,,1.0,The workload is massive and had a negative impact on my health and home life., Global Marketing Manager,"London, England",Former Employee ,not mentioned,1,4.0,1.0,The people and culture are 1st rate. Having a job with a purpose and making the world a better place.,5.0,5.0,5.0,4.0,2.0, 11 Jul 2017,"""One of the best companies I have worked for"""
34,not mentioned,1.0,You move at speed. Your world is rarely constant and you are in a constant state of change. This is both invigorating and challenging., Creative Strategist,"London, England",Current Employee ,L,6,5.0,1.0,"It is a genuinely connected and collaborative environment where you have the opportunity to work on projects that make meaningful impact for the business, the industry, clients, yourself and the wider world.You move at speed and this is invigorating, challenging and rewarding.",5.0,5.0,5.0,5.0,5.0, 26 May 2017,"""Creative strategist"""
35,not mentioned,1.0,Lots of politics and more and more hierarchy as the compnay grows by over 50% every year, Sales Operations Manager,"London, England",Former Employee ,M,0,3.0,1.0,Great perks and company to be part of. Good stocks,3.0,4.0,5.0,4.0,5.0, 21 Jun 2017,"""Sales Ops"""
36,,1.0,* Some teams have a lot of travelling (but at least you get to fly business class with a flat bed), Engineering Manager,"London, England",Current Employee ,M,2,5.0,1.0,"* Tech lead company* Engineers control their own destiny* As an engineer you choose which team you want to work on* You choose what you pursue* So many interesting people* Chance to work with the experts in their fields* So many interesting projects, from FB itself to autonomous drones, to Oculus to AI, etc. etc.",5.0,5.0,5.0,5.0,4.0, 18 May 2017,"""The Greatest Place to Work"""
37,,1.0,over hiring has diluted the original culture.back stabbing politics makes working the hard when you have to keep looking over your shoulder., Anonymous Employee,"London, England",Current Employee ,M,3,5.0,1.0,"Great work ethic, fantastic technical products with in-depth knowledge shareHard working ethic ensures an enthusiastic team work environment.",5.0,5.0,5.0,5.0,5.0, 23 Mar 2017,"""The best 2 years of my working career"""
38,,1.0,Can be hard to map career progression with flat struture, Account Manager,"London, England",Current Employee ,M,3,5.0,1.0,"Cares for employees, strives to give you work life balance, fantastic beneftis",4.0,5.0,5.0,5.0,5.0, 15 Mar 2017,"""working at facebook"""
39,not mentioned,1.0,"Not sure I would say this is a con, but you need to pro-actively set your goals and prioritize your efforts to make you're putting your energy in the right place.", Creative Strategist,"London, England",Current Employee ,not mentioned,0,5.0,1.0,"Everyone on the team is driven by an absolute ambition to make the world a better a place. The teams are collaborative, creative and welcoming to new ideas. The company is driven by impact and moving fast, so if you've got an idea you've got room to make a real impact.",5.0,5.0,5.0,5.0,5.0, 21 Mar 2017,"""Smart, humble & so keen"""
40,,1.0,The usual cons of working in a remote office several time zones away from the mother ships: you get to have sometimes meetings in the evenings and need to chat with people at times which might be uncomfortable., Anonymous Employee,"London, England",Current Employee ,L,4,5.0,1.0,It's a great environment; high performance but you don't feel too much pressure. Great middle management and friendly interactions with other teams. Working from home is an actual options for at least 1 day per week (no meetings Wednesday).,5.0,5.0,5.0,5.0,5.0, 3 Mar 2017,"""High performance but not high pressure environment"""
41,,1.0,Salary is insufficient to make a proper living.Very little career development., Production Engineer,"London, England",Current Employee ,M,11,3.0,0.0,"Great culture.Free food, good benefits.",2.0,3.0,4.0,1.0,3.0, 27 Feb 2017,"""Overrated"""
42,not mentioned,1.0,"Intense and fast-paced environment. (can be a good thing, but definitely not for all)", Production Engineer,"London, England",Current Employee ,L,0,5.0,1.0,"Company culture, opportunity for impact, deal with engineer problems at a unique scale and benefits.",5.0,4.0,5.0,5.0,5.0, 4 Mar 2017,"""Amazing place to work"""
43,not mentioned,1.0,Role definitions are sometimes a bit vague - but leaves scope to define your own roleBase pay is not particularly competitive but made up in stock and bonuses, Publisher Development Manager,"London, England",Current Employee ,M,1,5.0,1.0,"Industry leading benefits, a great office and total package is very competetive",4.0,5.0,5.0,5.0,5.0, 28 Feb 2017,"""Everything you could want from an employer"""
44,,1.0,Being able to choose the way you have impact on Facebook's mission is very liberating but also imposes a lot of pressure on every single individual. You have to prove every half that you are worth the investment Facebook makes into its people.The London office certainly has a smaller selection of teams than California. And knowing that you would make significantly more money across the pond is also awkward., Software Engineer,"London, England",Current Employee ,M,3,5.0,1.0,Top talent not just in engineering but across the company in all areas. The culture is very inspiring and motivating and keeps me excited every single day. On top of that I get to work on problems on a scale that is hard to find anywhere else in the world.,5.0,4.0,5.0,5.0,4.0, 17 Feb 2017,"""Amazing opportunity to impact the world"""
45,not mentioned,1.0,It can be pretty easy to lose track of reality. Sadly the vast majority of companies don't offer the same environment., Partner Technical Lead,"London, England",Current Employee ,M,1,5.0,1.0,"Compensation, Mission, People, Culture and Product. We can also add awesome offices location and perks.",3.0,5.0,4.0,4.0,3.0, 20 Feb 2017,"""Great Culture and great products"""
46,not mentioned,1.0,I work quite a lotWork-life balance is not that good (it is not really bad either), Software Engineer,"London, England",Current Employee ,L,0,5.0,1.0,Engineers are treated as first class citizensLots of perksGood work environmentOthee employees are friendly and helpful,4.0,4.0,5.0,4.0,2.0, 23 Feb 2017,"""Facebook is an awesome place to work"""
47,,1.0,Most roles are Full Time (5 days a week) due to the teams being lean. Limited options for those looking for 3/4 day positions., Recruiter,"London, England",Current Employee ,not mentioned,0,5.0,1.0,"Being part of a company that is helping connect the world, not just people but connecting and growing businesses. You are surrounded by not only some of the most innovative intelligent people, but people that want you to succeed which develops a very supportive environment. Great benefits, growth and career opportunities (globally not just in the US)",5.0,5.0,5.0,4.0,4.0, 21 Feb 2017,"""People Based Company"""
48,,1.0,"Some smart people can be rather snobbishActually heard ""what's ROI"" from a engineerDisconnect from Eng vs rest", Anonymous Employee,"London, England",Current Employee ,L,1,5.0,1.0,Great smart peopleGreat perksGreat diversityFree foodManagement moves fast and react fastOpen culture and code,4.0,4.0,5.0,5.0,3.0, 17 Feb 2017,"""Great corporate vision"""
49,,1.0,There are honestly very few. Facebook is a growing company and that runs the risk of losing its culture, Sales,"London, England",Current Employee ,not mentioned,0,5.0,1.0,Working with the smartest peopleA vision led companyAll the food!The benefits packageCompetitive compInternational opportunities,5.0,5.0,5.0,4.0,4.0, 18 Feb 2017,"""Incredible company raising the bar when it comes to taking care of employees"""
50,,0.0,"Large company, teams doing overlapping work across timezones. Difficult to coordinate.", Software Engineer,"London, England",Current Employee ,M,0,5.0,1.0,"I'm learning a lot from the people I work with, both technical and soft skills.",5.0,5.0,4.0,4.0,4.0, 18 Feb 2017,"""Awesome colleagues"""
51,not mentioned,1.0,"Hard for me to find any cons, but if pushed would say lack of headcount.", Administrative Assistant,"London, England",Former Employee ,not mentioned,1,5.0,1.0,"I absolutely loved my time at Facebook. I was lucky enough to work with talented, passionate, knowledgeable people who were super supportive and friendly. You're positively encouraged to express your ideas and trusted to work autonomously. The work is challenging and interesting and the social aspect is great too; there's always something to get involved with should you want to. They provide free breakfast, lunch …  and dinner which is pretty amazing. Despite contracts running 11 months (which sucks) they actively stay in contact / try and find way of getting great people to stay / come back. The hours are long - but no longer than any other job I've had in London and the rewards and job satisfaction are well worth it.Show More",4.0,5.0,5.0,5.0,4.0, 6 Feb 2017,"""Fantastic company to work for"""
52,not mentioned,1.0,"Can be intimidating at times, and coworkers definitely work a lot. Perhaps similarly to startups where everyone is motivated. You have to set your own work-life balance, but flexibility exists to allow you to do so (you never feel intimidated to have to work long hours, it's more of a self-motivation question).", Anonymous Employee,"London, England",Current Employee ,L,0,5.0,1.0,"Facebook hires comparable to the best talent I've worked with in the industry, with regards to smarts -- but also with at least a modicum of social skills :)Enormous opportunity to influence business direction, chase after your own ideas, and really stretch yourself to your fullest potential.Almost everything that should be provided is, without lengthy approval processes, unparalleled trust in …  employees at all levels (you don't need to be a bigwig to get perks).Employees are empowered to build anything, any app, service, feature. If you are a big fan of autonomy and self-driven growth, Facebook is the place to go.Managers don't bark orders or give commands, but spend the vast majority of their time as a support role, and encouraging leadership between engineers.Show More",5.0,5.0,4.0,4.0,4.0, 9 Feb 2017,"""Feels like joining an elite squad of super engineers"""
53,,,"Not enough hours, being micro managed, too much focus on the negatives as opposed to concentrating on the positive aspects of the business.", Senior Team Member,"Bury, North West England, England",Current Employee ,L,0,3.0,0.0,"Lovely team, everyone works well together, great atmosphere, customers always feel valued and appreciated, quaint and quirky cafe.",3.0,1.0,3.0,1.0,3.0, 16 Jan 2017,"""Great Food, Fantastic Staff!"""
54,not mentioned,,"Head office is in California, which can mean a lot of late nights for meetings. Free food makes you fat.", Software Engineer,"London, England",Current Employee ,M,1,5.0,1.0,"You have the resources to do your job, you work with other highly-skilled people, you make a positive difference to the world.",5.0,5.0,5.0,,3.0, 10 Dec 2016,"""Very good overall"""
55,not mentioned,1.0,"It's hard work, and pretty intense. It can be hard to extract yourself from the fast pace and the scale of the problems.", Software Engineering Manager,"London, England",Current Employee ,not mentioned,0,5.0,1.0,"I get to solve problems with fantastic colleagues, some of the smartest people I've ever worked with. I get to work on truly important challenges - products and systems that impact 1.7bn people. I also get to do what I love, using knowledge I gained from my PhD. Then there are the perks of being there - the free food, events and great office.",5.0,5.0,5.0,5.0,4.0, 3 Dec 2016,"""Engineering Manager"""
56,not mentioned,1.0,I can't imagine leaving is going to be easy., Product Manager,"London, England",Current Employee ,L,0,5.0,1.0,The people; the calibre; the environment; the stimulating work; the care; the perks.,5.0,4.0,5.0,5.0,4.0, 29 Nov 2016,"""Fantastic place to work"""
57,,1.0,"... though one thing you can't do is work a four day week, at least not as a manager.It's pretty full-on: there's always loads to do and for a UK manager, 5pm-7pm Mon-Thurs is video conference season. If you don't mind coming in late to stay late that can be OK, but if you prefer to start early, it makes for a long day.", Engineering Manager,"London, England",Former Employee ,M,4,4.0,0.0,"Virtually no numpties: not the smartest group I ever saw, but definitely - for any company with more than ten employees - the one with the least wasters.Devs are the most important people in the company. It's nice to be that person, people that have worked in investment banks will know what I mean.Good perks.You can do anything or buy anything that gets the job done: senior management have …  very few things that ""you just can't do""...Show More",5.0,5.0,4.0,4.0,2.0, 2 Dec 2016,"""Full-on"""
58,not mentioned,1.0,"Move fast and break things may not be the best motto; it's a big company, hard to coordinate across different offices.", Software Engineer,"London, England",Current Employee ,M,3,5.0,1.0,"Very nice to work at, awesome people around, interesting projects in lots of areas, you can have huge impact, good salary and benefits.",4.0,5.0,5.0,4.0,3.0, 11 Nov 2016,"""Facebook"""
59,,1.0,"Many employees are young and ambitious, which is great. However, one downside to this is that people are eager to push themselves to prove what they are capable of - Facebook is a place where talented people can shine. This can lead to a self-imposed work/life misbalance.", Software Engineer V,"London, England",Current Employee ,M,2,5.0,1.0,"Benefits aside, the best thing about working at Facebook is the people. It is very rare to be the ""smartest person in the room"". There is always someone who is better than you at something. This makes Facebook a great place to grow your skills and learn new things. This is made even easier by the friendly and open environment.",5.0,5.0,5.0,5.0,4.0, 2 Nov 2016,"""Inspirational Workplace"""
60,,1.0,"- This is Facebook London specific. Many teams are working very closely with teams in US, which means that at least a few days a week there will be video conferences with US around 5-6 pm.", Engineering Manager,"London, England",Current Employee ,M,1,5.0,1.0,"- Extremely smart people. I am really working with the best of the best engineers I have ever met.- Move fast. Decisions are being made rapidly and objectively. No bureaucracy. The change lifecycle idea->implementation->a/b test->production can take less than one day!- Bottom up. Many ideas and decisions are driven by engineers. Managers rarely would tell you what to do, but rather help you to get …  done what you think should be done. The protocol between the ideas and company goals is metrics. As long as your ideas are aligned with the metrics your org cares about you have green light to implement them.- Diversity. Facebook cares about diversity a lot, which makes the atmosphere here really inclusive and comforting.- Care about employees. Facebook cares about the employees. A lot. All these free meals, snacks, drinks, equipment, business trips to headquarters, tax consultations, massages and much, much more. Everything is done to allow you to take care of all your needs and allow you to focus on the job itself.Show More",5.0,5.0,5.0,5.0,3.0, 4 Nov 2016,"""Awesome company!"""
61,,1.0,Fast paced company where sometimes keeping up can be overwhelming, Agency Development,"London, England",Current Employee ,M,2,5.0,1.0,"Great culture and benefits. The company leadership are really open, honest and promote venerability and failure.",5.0,5.0,5.0,5.0,4.0, 6 Oct 2016,"""Best place I have ever worked"""
62,not mentioned,,Woking across timezones can be difficult for work-life balance, Software Engineer,"London, England",Current Employee ,M,1,5.0,1.0,Excellent company for university graduates. Working with the best in the industry who are always willing to help,5.0,4.0,5.0,5.0,3.0, 10 Sep 2016,"""Software engineer"""
63,,1.0,"Work/life balance is a challenge but something able to be managed with communication and support from your manager. As with any global company (especially one in such a period of rapid growth), there are growing pains around how to communicate locally vs. globally. London does hugely important work, building and shipping their own products. However Headquarters still think in a very US-centric way, this is something …  we're all working on.Show More", Recruiter,"London, England",Current Employee ,not mentioned,0,5.0,1.0,"Open, friendly, challenging environment. It's hard to believe that a company this big still genuinely feels like a startup but it truly does. The leadership works hard to remove obstacles to people doing their best work, and creating a culture where individual opinions are valued to drive innovation. You are encouraged to move fast and it's okay to fail if you're trying to push the limits and do something new (as …  long as it's back up with data/metrics/etc.). People are genuinely nice, collaborative, and so smart that you're constantly in a state of learning. London office has people from over 50 countries so great chance to meet some of the smartest people from around the world.Show More",5.0,4.0,5.0,5.0,4.0, 16 Jul 2016,"""Recruiter"""
